Step	64ept-8tpk-2itr	64ept-24tpk-1itr	64ept-16tpk-1itr	64ept-8tpk-1itr
10	10.67991924	10.73945713	10.75078201	10.76563358
20	8.79227829	8.788199425	8.803134918	8.826625824
30	7.402413368	7.420593739	7.434621811	7.461434364
40	5.863265514	5.894141197	5.905384064	5.924656868
50	4.802293301	4.820062637	4.822885513	4.834015369
60	4.237330437	4.255773067	4.259713173	4.266620636
70	3.897893429	3.903749466	3.908026695	3.912312746
80	3.661100864	3.650483131	3.655563593	3.659116507
90	3.452250719	3.45758009	3.461304188	3.465150356
100	3.288877964	3.290376663	3.295543432	3.30034399
110	3.154160976	3.151177406	3.153423548	3.158678055
120	3.025715351	3.024886847	3.02659297	3.040394306
130	2.92015028	2.906057835	2.913145542	2.919723749
140	2.844131947	2.831233978	2.834902287	2.840049744
150	2.76834631	2.747014761	2.754201412	2.758672714
160	2.694094658	2.68860507	2.691778183	2.701826096
170	2.628355742	2.619534254	2.622427702	2.631469011
180	2.560017586	2.550393105	2.560139179	2.569130898
190	2.498458385	2.48944068	2.495796204	2.507080555
200	2.437645435	2.449786663	2.452834129	2.46324873
210	2.400878906	2.40631032	2.407108784	2.417980194
220	2.353013515	2.374328613	2.380527973	2.379936218
230	2.311457634	2.33133316	2.340257168	2.337273598
240	2.26307559	2.29826498	2.296341419	2.309337378
250	2.224040031	2.260050297	2.264953136	2.273103714
260	2.176874638	2.220870256	2.227599621	2.236288071
270	2.152269363	2.202092171	2.205045223	2.216711044
280	2.106342077	2.177934408	2.186957121	2.183704853
290	2.069873333	2.14218235	2.145086765	2.151681185
300	2.039546013	2.107774258	2.10287571	2.114302635
310	2.025249004	2.095253944	2.08818388	2.098594427
320	1.996205688	2.059045315	2.048615694	2.060603857
330	1.981042147	2.035728216	2.034066916	2.042669058
340	1.960875273	2.014802456	2.008543491	2.012349606
350	1.938359261	1.988136411	1.982247829	1.993458748
360	1.90284276	1.94805336	1.948805571	1.958251476
370	1.885819197	1.935079575	1.936548471	1.948740959
380	1.851743221	1.88862586	1.897343159	1.906716108
390	1.848785877	1.884362698	1.884965897	1.898306847
400	1.826887131	1.863409758	1.864936352	1.88208425
410	1.793661594	1.827566504	1.836961508	1.852760434
420	1.76665163	1.799436808	1.8053298	1.818402052
430	1.74645257	1.78677237	1.785936594	1.802271724
440	1.732074142	1.76966989	1.776920557	1.788898945
450	1.697207093	1.73747611	1.738328695	1.757439137
460	1.678391814	1.72285676	1.727131128	1.740246534
470	1.671768188	1.708294153	1.715793133	1.724627733
480	1.660416126	1.698247194	1.699355364	1.711725593
490	1.645050883	1.689324617	1.678749561	1.700979829
500	1.629641652	1.664609432	1.658209324	1.675436974
510	1.619324684	1.660624146	1.657223105	1.667341232
520	1.591088533	1.638786316	1.635501623	1.648078442
530	1.568511009	1.628667474	1.624671698	1.63440156
540	1.560721636	1.602001905	1.603170633	1.617514849
550	1.547962785	1.595474482	1.592028618	1.606177211
560	1.537084103	1.579819202	1.576415181	1.592329741
570	1.513302326	1.553394318	1.55333817	1.57112968
580	1.509652376	1.551846743	1.553158879	1.568157196
590	1.502431631	1.542736888	1.550625801	1.559421062
600	1.493939161	1.536212444	1.540499926	1.550465465
610	1.494875431	1.53303647	1.532031775	1.550020695
620	1.475259304	1.506333351	1.505800009	1.52963233
630	1.452711344	1.495255828	1.493846416	1.509016037
640	1.439770699	1.48082006	1.486119747	1.492157817
650	1.436087132	1.470443249	1.48205626	1.492892027
660	1.418788314	1.460880995	1.464950323	1.482937694
670	1.403137445	1.444695711	1.447284579	1.469289303
680	1.386421323	1.433618069	1.434497118	1.453503609
690	1.374288321	1.422523975	1.425393939	1.446767569
700	1.364798188	1.415190458	1.414437294	1.433520913
710	1.359205842	1.397848368	1.402068138	1.429525733
720	1.340724468	1.387159824	1.389011383	1.414609551
730	1.333665371	1.375511646	1.382931948	1.406330109
740	1.319119692	1.365728617	1.366886377	1.397850752
750	1.307464838	1.351929665	1.353483677	1.381210327
760	1.303906441	1.349511623	1.352898121	1.3770051
770	1.298873067	1.342926979	1.349115372	1.373499393
780	1.297434807	1.333400726	1.340768814	1.358383894
790	1.287815094	1.325975657	1.333471417	1.36024797
800	1.274381638	1.317666292	1.322252512	1.341783166
810	1.259601355	1.315192461	1.321106195	1.338053942
820	1.245022297	1.300033808	1.303663492	1.320175886
830	1.258637667	1.292028189	1.293581128	1.310213089
840	1.23287046	1.289252281	1.283851266	1.298290014
850	1.223079801	1.281154633	1.279641151	1.29234457
860	1.209750414	1.270063639	1.26452446	1.286215901
870	1.19454205	1.256716609	1.254032612	1.27883625
880	1.191163063	1.247166395	1.246658564	1.270769119
890	1.193255663	1.244296551	1.248515844	1.263337612
900	1.17668581	1.231929302	1.238819599	1.254709601
910	1.164922714	1.220811129	1.225096583	1.244851589
920	1.144763708	1.21157515	1.211932778	1.229247332
930	1.138147593	1.194988728	1.201590061	1.218208313
940	1.138155341	1.18907547	1.193534613	1.213256359
950	1.144863844	1.186391711	1.185848117	1.211793184
960	1.138341427	1.179502249	1.177182674	1.210044026
970	1.137399673	1.184387922	1.181359529	1.21292448
980	1.12511158	1.172669649	1.175429344	1.196072102
990	1.119929314	1.169607639	1.172589898	1.19566226
1000	1.120011806	1.175135851	1.166462302	1.195848823
