Step	dsv2_coe_3-ds_8ept-8tpk-2itr - val/loss	dsv2_coe_3-ds_8ept-8tpk-1itr - val/loss	dsv2_coe_3-cc_64ept-8tpk-2itr - val/loss	dsv2_coe_3-fl_64ept-8tpk-1itr - val/loss
10	10.64883614	10.75227451	10.67991924	10.76563358
20	8.785924911	8.854385376	8.79227829	8.826625824
30	7.444824219	7.597399712	7.402413368	7.461434364
40	5.883073807	6.011668205	5.863265514	5.924656868
50	4.812820435	4.900074482	4.802293301	4.834015369
60	4.271636486	4.339237213	4.237330437	4.266620636
70	3.918772697	3.978694916	3.897893429	3.912312746
80	3.670412064	3.712993622	3.661100864	3.659116507
90	3.464441776	3.510238647	3.452250719	3.465150356
100	3.303231716	3.32640028	3.288877964	3.30034399
110	3.172612906	3.18773365	3.154160976	3.158678055
120	3.06107378	3.06966567	3.025715351	3.040394306
130	2.93510437	2.950821877	2.92015028	2.919723749
140	2.871561527	2.876452923	2.844131947	2.840049744
150	2.789007187	2.796454906	2.76834631	2.758672714
160	2.716932535	2.721002579	2.694094658	2.701826096
170	2.65920496	2.664093971	2.628355742	2.631469011
180	2.588703632	2.597867489	2.560017586	2.569130898
190	2.525428295	2.544434547	2.498458385	2.507080555
200	2.485232353	2.497587681	2.437645435	2.46324873
210	2.44728756	2.450050354	2.400878906	2.417980194
220	2.402445793	2.409710169	2.353013515	2.379936218
230	2.37296319	2.358896255	2.311457634	2.337273598
240	2.347251892	2.321093082	2.26307559	2.309337378
250	2.312717199	2.292672634	2.224040031	2.273103714
260	2.273565292	2.240541935	2.176874638	2.236288071
270	2.244691372	2.21838975	2.152269363	2.216711044
280	2.225377083	2.187578917	2.106342077	2.183704853
290	2.188443184	2.140468359	2.069873333	2.151681185
300	2.166101456	2.09928894	2.039546013	2.114302635
310	2.150353432	2.083656311	2.025249004	2.098594427
320	2.131038666	2.060219526	1.996205688	2.060603857
330	2.102298737	2.038936853	1.981042147	2.042669058
340	2.090981483	2.019747496	1.960875273	2.012349606
350	2.076283455	1.994811535	1.938359261	1.993458748
360	2.055833578	1.968384743	1.90284276	1.958251476
370	2.040957212	1.947940707	1.885819197	1.948740959
380	2.007327557	1.919090271	1.851743221	1.906716108
390	2.000008821	1.904326439	1.848785877	1.898306847
400	1.97612381	1.885486245	1.826887131	1.88208425
410	1.950608492	1.860265732	1.793661594	1.852760434
420	1.931262851	1.833791256	1.76665163	1.818402052
430	1.910134315	1.813792467	1.74645257	1.802271724
440	1.890449882	1.797024846	1.732074142	1.788898945
450	1.86255312	1.776168108	1.697207093	1.757439137
460	1.848824978	1.758574247	1.678391814	1.740246534
470	1.837740421	1.747084856	1.671768188	1.724627733
480	1.828245401	1.739935398	1.660416126	1.711725593
490	1.815295935	1.720757604	1.645050883	1.700979829
500	1.803864479	1.698786259	1.629641652	1.675436974
510	1.797316432	1.695523977	1.619324684	1.667341232
520	1.777749538	1.676055193	1.591088533	1.648078442
530	1.753150105	1.662361979	1.568511009	1.63440156
540	1.735447168	1.650627136	1.560721636	1.617514849
550	1.722005129	1.641053796	1.547962785	1.606177211
560	1.71069479	1.618600607	1.537084103	1.592329741
570	1.682219744	1.598742723	1.513302326	1.57112968
580	1.677123547	1.596053958	1.509652376	1.568157196
590	1.663631678	1.589298844	1.502431631	1.559421062
600	1.658333182	1.582871079	1.493939161	1.550465465
610	1.652726054	1.580843449	1.494875431	1.550020695
620	1.640506268	1.561401606	1.475259304	1.52963233
630	1.629667521	1.547985554	1.452711344	1.509016037
640	1.599381685	1.533249378	1.439770699	1.492157817
650	1.591246128	1.51931119	1.436087132	1.492892027
660	1.571855426	1.507946134	1.418788314	1.482937694
670	1.555740356	1.49524641	1.403137445	1.469289303
680	1.548371911	1.485714436	1.386421323	1.453503609
690	1.540911436	1.470081806	1.374288321	1.446767569
700	1.527993679	1.457933187	1.364798188	1.433520913
710	1.522180676	1.457877398	1.359205842	1.429525733
720	1.51051414	1.440018892	1.340724468	1.414609551
730	1.495803475	1.428823113	1.333665371	1.406330109
740	1.482667208	1.417972803	1.319119692	1.397850752
750	1.477512598	1.408928633	1.307464838	1.381210327
760	1.472505569	1.402302265	1.303906441	1.3770051
770	1.46922183	1.39454484	1.298873067	1.373499393
780	1.461849332	1.388386369	1.297434807	1.358383894
790	1.460326433	1.381331325	1.287815094	1.36024797
800	1.440551877	1.376991272	1.274381638	1.341783166
810	1.431927204	1.368694305	1.259601355	1.338053942
820	1.421380997	1.360203505	1.245022297	1.320175886
830	1.405031443	1.342334151	1.258637667	1.310213089
840	1.395134687	1.335678339	1.23287046	1.298290014
850	1.397133112	1.329628468	1.223079801	1.29234457
860	1.377928376	1.316454649	1.209750414	1.286215901
870	1.365257382	1.305300236	1.19454205	1.27883625
880	1.362952709	1.306291223	1.191163063	1.270769119
890	1.366844416	1.3073318	1.193255663	1.263337612
900	1.357672453	1.294676781	1.17668581	1.254709601
910	1.354259491	1.284393549	1.164922714	1.244851589
920	1.33423686	1.264027715	1.144763708	1.229247332
930	1.319816113	1.254765511	1.138147593	1.218208313
940	1.315556765	1.251581192	1.138155341	1.213256359
950	1.306392908	1.245133638	1.144863844	1.211793184
960	1.305749178	1.240829945	1.138341427	1.210044026
970	1.303376198	1.246763945	1.137399673	1.21292448
980	1.300599337	1.234898567	1.12511158	1.196072102
990	1.301620722	1.230700016	1.119929314	1.19566226
1000	1.292712212	1.231617451	1.120011806	1.195848823
